"REF_DATE","GEO","DGUID","Type of building","Type of work","Variables","Seasonal adjustment, value type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-08","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11620874","","","","0"
"2023-09","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11574570","","","","0"
"2023-10","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11362003","","","","0"
"2023-11","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11604077","","","","0"
"2023-12","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9944211","","","","0"
"2024-01","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11004011","","","","0"
"2024-02","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12137426","","","","0"
"2024-03","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11196024","","","","0"
"2024-04","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","13617078","","","","0"
"2024-05","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12130379","","","","0"
"2024-06","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10760755","","","","0"
"2024-07","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12472074","","","","0"
"2024-08","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11843088","","","","0"
"2024-09","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","13202017","","","","0"
"2024-10","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12605522","","","","0"
"2024-11","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12096925","","","","0"
"2024-12","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","13311261","","","","0"
"2025-01","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12805781","","","","0"
"2025-02","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","13429762","","","","0"
"2025-03","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","12880313","","","","0"
"2020-01","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","5625718","","","","0"
"2020-02","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","5473206","","","","0"
"2020-03","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","4435679","","","","0"
"2020-04","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","3891307","","","","0"
"2020-05","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","5255833","","","","0"
"2020-06","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","5350214","","","","0"
"2020-07","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","5397541","","","","0"
"2020-08","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","5876074","","","","0"
"2020-09","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6341355","","","","0"
"2020-10","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6506784","","","","0"
"2020-11","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6498347","","","","0"
"2020-12","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6519673","","","","0"
"2021-01","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7612573","","","","0"
"2021-02","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6943987","","","","0"
"2021-03","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","8028128","","","","0"
"2021-04","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7799238","","","","0"
"2021-05","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6714677","","","","0"
"2021-06","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6822581","","","","0"
"2021-07","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7044094","","","","0"
"2021-08","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6325388","","","","0"
"2021-09","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7026481","","","","0"
"2021-10","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7471175","","","","0"
"2021-11","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7770935","","","","0"
"2021-12","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7836259","","","","0"
"2022-01","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7262160","","","","0"
"2022-02","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7678544","","","","0"
"2022-03","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7976073","","","","0"
"2022-04","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7913671","","","","0"
"2022-05","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7960101","","","","0"
"2022-06","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","8139287","","","","0"
"2022-07","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7455413","","","","0"
"2022-08","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","8234349","","","","0"
"2022-09","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6672479","","","","0"
"2022-10","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6223069","","","","0"
"2022-11","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7134360","","","","0"
"2022-12","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6981306","","","","0"
"2023-01","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6370339","","","","0"
"2023-02","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6703358","","","","0"
"2023-03","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6833702","","","","0"
"2023-04","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6021763","","","","0"
"2023-05","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6908248","","","","0"
"2023-06","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7746160","","","","0"
"2023-07","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7096604","","","","0"
"2023-08","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6877766","","","","0"
"2023-09","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7591296","","","","0"
"2023-10","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7150123","","","","0"
"2023-11","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7390965","","","","0"
"2023-12","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","5871680","","","","0"
"2024-01","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6511626","","","","0"
"2024-02","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7162629","","","","0"
"2024-03","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6659416","","","","0"
"2024-04","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","8665196","","","","0"
"2024-05","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7579193","","","","0"
"2024-06","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","6820958","","","","0"
"2024-07","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7590323","","","","0"
"2024-08","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7348765","","","","0"
"2024-09","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7906608","","","","0"
"2024-10","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7901030","","","","0"
"2024-11","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","7494899","","","","0"
"2024-12","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","9084532","","","","0"
"2025-01","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","8794223","","","","0"
"2025-02","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","8487833","","","","0"
"2025-03","Canada","2021A000011124","Total residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843490","1.4.1.1.2","8654701","","","","0"
"2020-01","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2261427","","","","0"
"2020-02","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2488568","","","","0"
"2020-03","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2068488","","","","0"
"2020-04","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","1365449","","","","0"
"2020-05","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","1965098","","","","0"
"2020-06","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2092580","","","","0"
"2020-07","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2313043","","","","0"
"2020-08","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2552522","","","","0"
"2020-09","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2868546","","","","0"
"2020-10","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2808737","","","","0"
"2020-11","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","2928060","","","","0"
"2020-12","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3053993","","","","0"
"2021-01","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3470735","","","","0"
"2021-02","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3435818","","","","0"
"2021-03","Canada","2021A000011124","Single dwelling building total","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843491","1.7.1.1.2","3789660","","","","0"
