"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","9328","","","","0"
"2014","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","8740","","","","0"
"2015","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","10171","","","","0"
"2016","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","9766","","","","0"
"2017","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","9864","","","","0"
"2019","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","11322","","","","0"
"2021","Alberta","2016A000248","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325972","12.1.3","11901","","","","0"
"2010","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","74841","","","","0"
"2011","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","75196","","","","0"
"2012","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","75856","","","","0"
"2013","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","78851","","","","0"
"2014","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","80776","","","","0"
"2015","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","85712","","","","0"
"2016","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","85845","","","","0"
"2017","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","92804","","","","0"
"2019","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","102091","","","","0"
"2021","British Columbia","2016A000259","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54326012","13.1.1","99903","","","","0"
"2010","British Columbia","2016A000259","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54326014","13.1.3","8732","","","","0"
"2011","British Columbia","2016A000259","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54326014","13.1.3","8121","","","","0"
"2012","British Columbia","2016A000259","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54326014","13.1.3","8438","","","","0"
