"REF_DATE","GEO","DGUID","Prices","Industries","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2670","","","","0"
"2020-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2416","","","","0"
"2020-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","932","","","","0"
"2020-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1650","","","","0"
"2020-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1477","","","","0"
"2021-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1600","","","","0"
"2021-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","1643","","","","0"
"2021-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2240","","","","0"
"2021-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2511","","","","0"
"2022-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2366","","","","0"
"2022-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2678","","","","0"
"2022-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2705","","","","0"
"2022-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2717","","","","0"
"2023-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2804","","","","0"
"2023-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2743","","","","0"
"2023-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2681","","","","0"
"2023-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2795","","","","0"
"2024-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2820","","","","0"
"2024-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2851","","","","0"
"2024-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2782","","","","0"
"2024-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2849","","","","0"
"2025-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2907","","","","0"
"2010-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1254","","","","0"
"2010-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1256","","","","0"
"2010-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1251","","","","0"
"2010-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1249","","","","0"
"2011-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1247","","","","0"
"2011-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1267","","","","0"
"2011-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1272","","","","0"
"2011-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1277","","","","0"
"2012-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1293","","","","0"
"2012-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1300","","","","0"
"2012-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1302","","","","0"
"2012-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1307","","","","0"
"2013-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1327","","","","0"
"2013-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1341","","","","0"
"2013-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1354","","","","0"
"2013-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1357","","","","0"
"2014-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1363","","","","0"
"2014-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1389","","","","0"
"2014-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1397","","","","0"
"2014-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1389","","","","0"
"2015-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1369","","","","0"
"2015-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1385","","","","0"
"2015-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1394","","","","0"
"2015-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1404","","","","0"
"2016-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1430","","","","0"
"2016-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1447","","","","0"
"2016-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1464","","","","0"
"2016-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1458","","","","0"
"2017-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1462","","","","0"
"2017-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1472","","","","0"
"2017-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1486","","","","0"
"2017-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1486","","","","0"
"2018-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1486","","","","0"
"2018-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1498","","","","0"
"2018-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1520","","","","0"
"2018-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1527","","","","0"
"2019-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1534","","","","0"
"2019-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1544","","","","0"
"2019-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1540","","","","0"
"2019-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1546","","","","0"
"2020-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1328","","","","0"
"2020-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","451","","","","0"
"2020-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","728","","","","0"
"2020-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","685","","","","0"
"2021-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","725","","","","0"
"2021-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","755","","","","0"
"2021-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1063","","","","0"
"2021-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1159","","","","0"
"2022-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1153","","","","0"
"2022-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1358","","","","0"
"2022-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1416","","","","0"
"2022-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1440","","","","0"
"2023-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1485","","","","0"
"2023-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1477","","","","0"
"2023-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1461","","","","0"
"2023-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1476","","","","0"
"2024-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1476","","","","0"
"2024-04","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1479","","","","0"
"2024-07","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1469","","","","0"
"2024-10","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1489","","","","0"
"2025-01","Canada","2016A000011124","2017 constant prices","Food and beverage services","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400173","1.2.5.1","1504","","","","0"
"2010-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1430","","","","0"
"2010-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1425","","","","0"
"2010-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1422","","","","0"
"2010-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1427","","","","0"
"2011-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1419","","","","0"
"2011-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1419","","","","0"
"2011-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1422","","","","0"
"2011-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1436","","","","0"
"2012-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1452","","","","0"
"2012-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1439","","","","0"
"2012-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1440","","","","0"
"2012-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1430","","","","0"
"2013-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1414","","","","0"
"2013-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1421","","","","0"
"2013-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1422","","","","0"
"2013-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1428","","","","0"
"2014-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1432","","","","0"
"2014-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1436","","","","0"
"2014-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1414","","","","0"
"2014-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1417","","","","0"
"2015-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1409","","","","0"
"2015-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1413","","","","0"
"2015-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1417","","","","0"
"2015-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1426","","","","0"
"2016-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1422","","","","0"
"2016-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1403","","","","0"
"2016-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1422","","","","0"
"2016-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1425","","","","0"
"2017-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1448","","","","0"
"2017-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1454","","","","0"
"2017-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1463","","","","0"
"2017-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1461","","","","0"
"2018-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1466","","","","0"
"2018-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1472","","","","0"
"2018-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1474","","","","0"
"2018-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1490","","","","0"
"2019-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1484","","","","0"
"2019-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1496","","","","0"
"2019-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1498","","","","0"
"2019-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1500","","","","0"
"2020-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1230","","","","0"
"2020-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","441","","","","0"
"2020-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","603","","","","0"
"2020-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","609","","","","0"
"2021-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","562","","","","0"
"2021-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","582","","","","0"
"2021-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","777","","","","0"
"2021-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","881","","","","0"
"2022-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","908","","","","0"
"2022-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1103","","","","0"
"2022-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1164","","","","0"
"2022-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1234","","","","0"
"2023-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1275","","","","0"
"2023-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1286","","","","0"
"2023-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1300","","","","0"
"2023-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1308","","","","0"
"2024-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1324","","","","0"
"2024-04","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1330","","","","0"
"2024-07","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1337","","","","0"
"2024-10","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1336","","","","0"
"2025-01","Canada","2016A000011124","2017 constant prices","Other tourism industries","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400174","1.2.6.1","1320","","","","0"


