"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","25372","","","","0"
"2020-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","21566","","","","0"
"2020-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","7136","","","","0"
"2020-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","10973","","","","0"
"2020-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","10872","","","","0"
"2021-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","10951","","","","0"
"2021-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","11475","","","","0"
"2021-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","15760","","","","0"
"2021-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","17794","","","","0"
"2022-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","17934","","","","0"
"2022-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","22004","","","","0"
"2022-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23349","","","","0"
"2022-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24189","","","","0"
"2023-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24875","","","","0"
"2023-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24952","","","","0"
"2023-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","25221","","","","0"
"2023-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","25800","","","","0"
"2024-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","26009","","","","0"
"2024-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","26091","","","","0"
"2024-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","25932","","","","0"
"2024-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","26322","","","","0"
"2025-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","26309","","","","0"
"2010-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","6574","","","","0"
"2010-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","6717","","","","0"
"2010-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","6810","","","","0"
"2010-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","6941","","","","0"
